date,ljqz,ljsw,xzqz
2020-01-21,440,9,149
2020-01-22,571,17,131
2020-01-23,830,25,259
2020-01-24,1287,41,444
2020-01-25,1975,56,688
2020-01-26,2744,80,769
2020-01-27,4515,106,1771
2020-01-28,5974,170,1459
2020-01-29,7711,213,1737
2020-01-30,9692,213,1982
2020-01-31,11791,259,2102
2020-02-01,14380,259,2590
2020-02-02,17205,361,2829
2020-02-03,20438,425,3235
2020-02-04,24324,490,3887
2020-02-05,28018,563,3694
2020-02-06,31161,636,3143
2020-02-07,31774,722,3399
2020-02-08,33738,811,2656
2020-02-09,35982,908,3062
2020-02-10,37626,1016,2478
2020-02-11,38800,1113,2015
2020-02-12,52526,1367,15152
2020-02-13,55748,1380,5090
2020-02-14,56873,1523,2641
2020-02-15,57416,1665,2009
2020-02-16,57934,1770,2048
2020-02-17,58016,1868,1886
2020-02-18,57805,2004,1749
2020-02-19,56303,2118,394
2020-02-20,54965,2236,889
2020-02-21,53284,2345,397
2020-02-22,51606,2442,648
2020-02-23,49824,2495,409
2020-02-24,77658,2663,508
2020-02-25,78064,2715,406
2020-02-26,78497,2744,433
2020-02-27,78824,2788,327
2020-02-28,78251,2727,427
2020-02-29,79824,2761,573
2020-03-01,80026,2803,202
2020-03-02,80151,2834,125
2020-03-03,80270,2981,119
2020-03-04,80409,3012,139
2020-03-05,80552,3042,143
2020-03-06,80651,3070,99
2020-03-07,80695,3097,44
2020-03-08,80735,3119,40
2020-03-09,80754,3136,19
2020-03-10,80778,3158,24
2020-03-11,80793,3169,15
2020-03-12,80813,3176,8
2020-03-13,80824,3189,11
2020-03-14,80844,3199,20
2020-03-15,80860,3213,16
2020-03-16,80881,3226,21
2020-03-17,80894,3237,13
2020-03-18,80928,3245,34
2020-03-19,80967,3248,39
2020-03-20,81008,3255,41
2020-03-21,81054,3261,46
2020-03-22,81093,3270,39
2020-03-23,81171,3277,78
2020-03-24,81218,3281,47
2020-03-25,81285,3287,67
2020-03-26,81340,3292,55
2020-03-27,81394,3295,54
2020-03-28,81439,3300,45
2020-03-29,81470,3304,31
2020-03-30,81518,3305,48
2020-03-31,81554,3312,36
2020-04-01,81589,3318,35
2020-04-02,81620,3322,31
2020-04-03,81639,3326,19
2020-04-04,81669,3329,30
2020-04-05,81708,3331,39
2020-04-06,81740,3331,32
2020-04-07,81802,3333,62
2020-04-08,81865,3335,63
2020-04-09,81907,3336,42
2020-04-10,81953,3339,46
2020-04-11,82052,3339,99
2020-04-12,82160,3341,108
2020-04-13,82249,3341,89
2020-04-14,82295,3342,46
2020-04-15,82341,3342,46
2020-04-16,82367,3342,26
2020-04-17,82719,4632,27
2020-04-18,82735,4632,16
2020-04-19,82747,4632,12
2020-04-20,82758,4632,11
2020-04-21,82788,4632,30
2020-04-22,82798,4632,10
2020-04-23,82804,4632,6
2020-04-24,82816,4632,12
2020-04-25,82827,4632,11
2020-04-26,82830,4633,3
2020-04-27,82836,4633,6
2020-04-28,82858,4633,22
2020-04-29,82862,4633,4
2020-04-30,82874,4633,12
2020-05-01,82875,4633,1
2020-05-02,82877,4633,2
2020-05-03,82880,4633,3
2020-05-04,82881,4633,1
2020-05-05,82883,4633,2
2020-05-06,82885,4633,2
2020-05-07,82886,4633,1
2020-05-08,82887,4633,1
2020-05-09,82901,4633,14
2020-05-10,82918,4633,17
2020-05-11,82919,4633,1
2020-05-12,82926,4633,7
2020-05-13,82929,4633,3
2020-05-14,82933,4633,4
2020-05-15,82941,4633,8
2020-05-16,82947,4634,5
2020-05-17,82954,4634,7
2020-05-18,82960,4634,6
2020-05-19,82965,4634,5
2020-05-20,82967,4634,2
2020-05-21,82971,4634,4
2020-05-22,82971,4634,0
2020-05-23,82974,4634,3
2020-05-24,82985,4634,11
2020-05-25,82992,4634,7
